TaskID,SiteID,SiteName,SiteAddress,Category,TaskName,Description,Status,Priority,AssignedTo,StartDate,DueDate,CompletedDate,Dependencies,Notes
T001,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Planning,Site Survey,Initial site survey and measurements for network infrastructure,Complete,High,Mike Chen,2025-11-01,2025-11-05,2025-11-04,,Floor plans obtained
T002,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Planning,Network Design,Design network topology and access point placement,Complete,High,Sarah Jones,2025-11-06,2025-11-12,2025-11-11,T001,Design approved by client
T003,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Ordering,Order Switches,Procure Cisco Meraki MS120-8 switches x3,Complete,High,James Wilson,2025-11-08,2025-11-15,2025-11-14,T002,PO-2025-0891
T004,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Ordering,Order Access Points,Procure Cisco Meraki MR46 APs x6,Complete,High,James Wilson,2025-11-08,2025-11-15,2025-11-13,T002,PO-2025-0892
T005,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Ordering,Order Firewall,Procure Cisco Meraki MX68 firewall x1,Complete,High,James Wilson,2025-11-08,2025-11-15,2025-11-14,T002,PO-2025-0893
T006,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Ordering,Order Cabling,Cat6a cabling and trunking materials,Complete,Medium,James Wilson,2025-11-10,2025-11-18,2025-11-17,T001,500m Cat6a ordered
T007,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Installation,Cable Installation,Run Cat6a cabling to all AP and switch locations,Complete,High,Dave Brown,2025-11-20,2025-11-27,2025-11-26,T006,All 18 runs tested and certified
T008,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Installation,Mount Access Points,Install and mount all 6 access points,Complete,High,Dave Brown,2025-11-28,2025-11-30,2025-11-29,T004;T007,All APs mounted and powered
T009,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Installation,Install Switches,Rack and install switches in comms cabinet,Complete,High,Dave Brown,2025-11-28,2025-11-30,2025-11-29,T003;T007,Cabinet organised and labelled
T010,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Installation,Install Firewall,Install and connect MX68 firewall,Complete,High,Dave Brown,2025-11-28,2025-11-30,2025-11-30,T005;T009,Connected to ISP router
T011,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Configuration,Configure Firewall,Configure firewall rules and VPN tunnel to HQ,Complete,High,Sarah Jones,2025-12-01,2025-12-03,2025-12-02,T010,VPN tunnel established
T012,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Configuration,Configure Switches,VLAN configuration and port assignments,Complete,High,Sarah Jones,2025-12-01,2025-12-03,2025-12-03,T009,VLANs: Corp POS Guest IoT
T013,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Configuration,Configure APs,SSID setup and wireless configuration,Complete,High,Sarah Jones,2025-12-03,2025-12-05,2025-12-04,T008;T012,3 SSIDs configured
T014,S1,Pizza Express Camden,14 Camden High St London NW1 0JH,Configuration,POS Integration,Configure network for POS system connectivity,Complete,Medium,Mike Chen,2025-12-05,2025-12-08,2025-12-07,T011;T012,POS terminals connected
